fixture,team,player_id,name,position,minutes,rating,goals,assists,shots_total,shots_on,passes_total,accurate_passes,pass_accuracy_%,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total,shots_on_target_ratio,goal_conversion_rate,duel_win_ratio,tackle_success_rate,goal_involvement,cards_total,cards_per_90,fouls_per_90,cards_per_foul,duel_foul_ratio,avg_rating_last_4,avg_goals_last_4,avg_assists_last_4,goal_involvement_last_4,form_index,performance_variance,aggression_index_norm,form_index_team,control_index,opponent,aggression_index_norm_opp,cards_per_90_team,fouls_per_90_team,form_index_team_opp,control_index_opp,cards_per_90_team_opp,fouls_per_90_team_opp,agg_diff,form_diff,control_diff,is_defensive,expected_foul_pressure,expected_card_risk
stade brestois 29 vs nantes,stade brestois 29,375990,Pathé Mboup,M,78,6.6,0.0,0.0,1.0,1.0,15,9.0,60.0,2.0,1.0,2.0,4.0,1,0,8.0,20.0,1.0,0.0,0.4,0.1,0.0,1,1.1538461538461537,2.3076923076923075,0.5,0.1,6.466666666666666,0.0,0.0,0.0,3.8799999999999994,0.0233333333333333,0.390445580505763,0.14,0.6784482486837542,nantes,0.41044104410441046,1,12.0,-0.15999999999999998,0.5772788755586921,0,0,-0.019995463598647456,0.3,0.10116937312506213,0,0.0,0.0
stade brestois 29 vs nice,stade brestois 29,375990,Pathé Mboup,M,61,6.2,0.0,0.0,1.0,0.0,14,7.0,50.0,0.0,0.0,3.0,2.0,0,0,2.0,9.0,0.0,0.0,0.2222222222222222,0.0,0.0,0,0.0,4.426229508196721,0.0,0.3333333333333333,6.4,0.0,0.0,0.0,3.84,0.03333333333333332,0.6188681368136814,0.33999999999999997,0.5256230073524628,nice,0.4175467966964764,3,11.0,0.05999999999999994,0.7171433896934314,0,0,0.20132134011720498,0.28,-0.19152038234096858,0,0.0,0.0
stade brestois 29 vs paris fc,stade brestois 29,375990,Pathé Mboup,F,45,6.3,0.0,0.0,1.0,0.0,6,4.0,66.7,0.0,1.0,1.0,0.0,0,0,2.0,9.0,0.0,0.0,0.2222222222222222,0.0,0.0,0,0.0,2.0,0.0,0.1111111111111111,6.35,0.0,0.0,0.0,3.8099999999999996,0.030000000000000044,0.34133438919339504,0.5800000000000001,0.5916449320124764,paris fc,0.3726299607648392,3,10.0,0.64,0.5772407519042505,0,0,-0.031295571571444136,-0.05999999999999994,0.014404180108225861,0,0.0,0.0
lyon vs metz,metz,378353,Urie-Michel Mboula,D,41,6.5,0.0,0.0,0.0,0.0,25,21.0,84.0,1.0,0.0,1.0,3.0,0,0,5.0,7.0,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0,0,0.0,2.1951219512195124,0.0,0.14285714285714285,6.5,0.0,0.0,0.0,3.9,0.0,0.566072524207438,-0.6,0.6414881459062391,lyon,0.4266242481025596,0,13.0,0.0,0.6770038480201317,0,0,0.13944827610487842,-0.6,-0.035515702113892544,0,0.0,0.0
metz vs le havre,metz,378353,Urie-Michel Mboula,M,45,6.9,0.0,0.0,0.0,0.0,22,20.0,90.9,1.0,1.0,1.0,1.0,0,0,2.0,3.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0,0.0,2.0,0.0,0.3333333333333333,6.7,0.0,0.0,0.0,4.02,0.08000000000000014,0.605388346321263,-0.2333333333333333,0.6253019968474653,le havre,0.60996099609961,2,16.0,0.26,0.6041261488721679,0,0,-0.004572649778346927,-0.4933333333333333,0.02117584797529748,0,0.0,0.0
metz vs strasbourg,metz,378353,Urie-Michel Mboula,D,90,6.6,0.0,0.0,0.0,0.0,45,36.0,80.0,1.0,1.0,0.0,1.0,0,0,3.0,4.0,0.0,0.0,0.75,0.25,0.0,0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,4.0,0.04333333333333345,0.6008592455884243,-0.26,0.533912642499759,strasbourg,0.47523113655903404,2,13.0,-0.09999999999999998,0.6616982278679525,0,0,0.12562810902939026,-0.16000000000000003,-0.1277855853681935,0,0.0,0.0
lille vs lyon,lille,379329,Tiago Santos,D,89,6.6,0.0,0.0,0.0,0.0,24,20.0,83.3,1.0,0.0,2.0,6.0,0,0,7.0,12.0,0.0,0.0,0.5833333333333334,0.08333333333333333,0.0,0,0.0,2.0224719101123596,0.0,0.16666666666666666,6.6,0.0,0.0,0.0,3.9599999999999995,0.0,0.8369520209939547,-1.05,0.5912840464145874,lyon,1.0,4,24.0,-0.3999999999999999,0.5693481017378982,0,0,-0.16304797900604528,-0.6500000000000001,0.021935944676689245,0,0.0,0.0
lille vs paris saint germain,lille,379329,Tiago Santos,D,14,6.6,0.0,0.0,0.0,0.0,8,4.0,50.0,1.0,0.0,1.0,0.0,0,0,1.0,3.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0,0.0,6.428571428571428,0.0,0.3333333333333333,6.6,0.0,0.0,0.0,3.9599999999999995,0.0,0.3642287022819929,-0.42499999999999993,0.5639152575017884,paris saint germain,0.41379432060853144,1,12.0,0.2,0.7204286939658388,0,0,-0.04956561832653855,-0.625,-0.15651343646405036,0,0.0,0.0
auxerre vs lorient,lorient,384112,Panos Katseris,D,25,7.0,0.0,0.0,0.0,0.0,9,8.0,88.9,0.0,0.0,0.0,3.0,0,0,4.0,8.0,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.2,0.0,0.5200322171254559,-0.6,0.6137072112064714,auxerre,0.711052420120905,3,18.0,-0.3999999999999999,0.563444644929562,0,0,-0.19102020299544908,-0.20000000000000007,0.05026256627690939,0,0.0,0.0
lorient vs lille,lorient,384112,Panos Katseris,M,15,6.7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,2.0,0,0,2.0,4.0,0.0,0.0,0.5,0.0,0.0,0,0.0,6.0,0.0,0.25,6.85,0.0,0.0,0.0,4.109999999999999,0.04499999999999981,0.54289546601719,-0.7666666666666666,0.5686193671493922,lille,0.7152976167181936,3,18.0,0.44000000000000006,0.6985408637722679,0,0,-0.17240215070100362,-1.2066666666666666,-0.12992149662287567,0,0.0,0.0
lorient vs rennes,lorient,384112,Panos Katseris,M,90,6.6,0.0,0.0,2.0,1.0,48,39.0,81.2,1.0,4.0,1.0,0.0,1,0,2.0,8.0,0.5,0.0,0.25,0.125,0.0,1,1.0,1.0,1.0,0.125,6.766666666666667,0.0,0.0,0.0,4.06,0.04333333333333328,0.7919960063233213,-0.23999999999999988,0.6264530713180051,rennes,0.22212809516245738,2,7.0,-0.09999999999999998,0.6043892786472388,0,0,0.569867911160864,-0.1399999999999999,0.022063792670766302,0,0.0,0.0
monaco vs metz,metz,384683,Ismaël Guerti,M,15,6.3,0.0,0.0,0.0,0.0,9,7.0,77.8,2.0,1.0,0.0,0.0,0,0,3.0,4.0,0.0,0.0,0.75,0.5,0.0,0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,3.78,0.0,0.12687959972467835,0.06,0.6498359513411648,monaco,0.5329262655995329,1,15.0,0.12,0.5924554337286492,0,0,-0.4060466658748546,-0.06,0.057380517612515614,0,0.0,0.0
angers vs stade brestois 29,angers,385569,Emmanuel Biumla,M,45,6.3,0.0,0.0,0.0,0.0,27,23.0,85.2,0.0,0.0,0.0,0.0,0,0,1.0,3.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,3.78,0.0,0.4531953195319532,-0.22499999999999998,0.7005050607561365,stade brestois 29,0.4506803621538624,1,13.0,0.7,0.5253145836466637,0,0,0.0025149573780907652,-0.9249999999999999,0.17519047710947278,0,0.0,0.0
paris saint germain vs angers,angers,385569,Emmanuel Biumla,M,14,6.3,0.0,0.0,0.0,0.0,1,1.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,3.78,0.0,0.25262746862921587,-0.15999999999999998,0.4211714890613973,paris saint germain,0.0,0,3.0,0.225,0.9178899082568808,0,0,0.25262746862921587,-0.385,-0.4967184191954835,0,0.0,0.0
strasbourg vs angers,angers,385569,Emmanuel Biumla,D,71,5.0,0.0,0.0,0.0,0.0,44,37.0,84.1,4.0,1.0,0.0,1.0,0,0,6.0,8.0,0.0,0.0,0.75,0.5,0.0,0,0.0,0.0,0.0,0.0,5.866666666666667,0.0,0.0,0.0,3.52,0.563333333333333,0.3893782760629004,-0.26,0.5723241590214068,strasbourg,0.4311195825464899,2,12.0,0.6799999999999999,0.7158225555725233,0,0,-0.041741306483589535,-0.94,-0.1434983965511165,0,0.0,0.0
auxerre vs monaco,monaco,386276,Paris Brunner,F,27,6.2,0.0,0.0,0.0,0.0,4,1.0,25.0,0.0,0.0,4.0,1.0,1,0,3.0,10.0,0.0,0.0,0.3,0.0,0.0,1,3.333333333333333,13.333333333333332,0.25,0.4,6.2,0.0,0.0,0.0,3.7199999999999998,0.0,0.8322832283228324,-0.44999999999999996,0.6988801159309103,auxerre,0.480300971273598,4,12.0,-0.6666666666666667,0.5086676101242762,0,0,0.3519822570492344,0.21666666666666679,0.19021250580663407,0,0.0,0.0
monaco vs le havre,monaco,386276,Paris Brunner,F,10,6.5,0.0,0.0,0.0,0.0,2,1.0,50.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.35,0.0,0.0,0.0,3.8099999999999996,0.04500000000000008,0.08623215262702742,-0.24,0.7276608140883687,le havre,0.4939935169987587,1,14.0,0.38000000000000006,0.4843942311322536,0,0,-0.40776136437173127,-0.6200000000000001,0.24326658295611508,0,0.0,0.0
monaco vs metz,monaco,386276,Paris Brunner,F,45,6.3,0.0,0.0,0.0,0.0,10,7.0,70.0,1.0,1.0,2.0,0.0,0,0,2.0,6.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0,0.0,4.0,0.0,0.3333333333333333,6.333333333333333,0.0,0.0,0.0,3.8,0.02333333333333337,0.5329262655995329,0.12,0.5924554337286492,metz,0.12687959972467835,0,6.0,0.06,0.6498359513411648,0,0,0.4060466658748546,0.06,-0.057380517612515614,0,0.0,0.0
