fixture,team,home_team,away_team,home_goals,away_goals,final_score,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
Lens vs Nice,Lens,Lens,Nice,2,0,2-0,5,5,15,5,8,7,17,2,0,0.46,0,0,4,418,344,0.82,1.65,-1
Lens vs Nice,Nice,Lens,Nice,2,0,2-0,4,2,8,2,4,4,13,5,2,0.54,2,0,4,493,421,0.85,0.76,-1
Marseille vs Monaco,Marseille,Marseille,Monaco,1,0,1-0,8,6,18,4,12,6,11,3,0,0.58,2,0,5,495,406,0.82,1.79,1
Marseille vs Monaco,Monaco,Marseille,Monaco,1,0,1-0,7,4,18,7,12,6,11,7,6,0.42,1,0,6,348,285,0.82,2.21,1
Toulouse vs Lens,Toulouse,Toulouse,Lens,0,3,0-3,2,3,8,3,6,2,16,2,0,0.32,2,1,4,268,199,0.74,0.66,0
Toulouse vs Lens,Lens,Toulouse,Lens,0,3,0-3,7,8,16,1,11,5,16,8,0,0.68,3,0,2,571,509,0.89,1.62,0
Monaco vs Lyon,Monaco,Monaco,Lyon,1,3,1-3,2,1,6,3,2,4,14,7,0,0.45,2,1,6,371,303,0.82,0.69,0
Monaco vs Lyon,Lyon,Monaco,Lyon,1,3,1-3,9,3,13,1,7,6,12,2,0,0.55,3,0,1,478,407,0.85,1.4,0
Nice vs Strasbourg,Nice,Nice,Strasbourg,1,1,1-1,6,9,19,4,13,6,12,5,1,0.45,1,0,2,443,384,0.87,2.75,0
Nice vs Strasbourg,Strasbourg,Nice,Strasbourg,1,1,1-1,5,2,8,1,6,2,12,7,1,0.55,2,0,5,541,468,0.87,1.35,0
Lille vs Rennes,Lille,Lille,Rennes,0,2,0-2,3,5,13,5,9,4,4,4,0,0.39,1,1,2,380,315,0.83,0.85,0
Lille vs Rennes,Rennes,Lille,Rennes,0,2,0-2,4,9,18,5,12,6,14,7,2,0.61,1,0,3,605,540,0.89,1.57,0
Marseille vs Nantes,Marseille,Marseille,Nantes,0,2,0-2,4,4,11,3,6,5,17,6,3,0.56,2,2,7,466,406,0.87,0.75,0
Marseille vs Nantes,Nantes,Marseille,Nantes,0,2,0-2,9,2,15,4,12,3,20,3,4,0.44,3,0,4,380,325,0.86,3.63,0
Lorient vs Metz,Lorient,Lorient,Metz,1,1,1-1,5,8,16,3,11,5,9,4,3,0.43,1,0,1,433,365,0.84,1.44,0
Lorient vs Metz,Metz,Lorient,Metz,1,1,1-1,2,3,8,3,4,4,8,4,1,0.57,2,0,4,581,522,0.9,0.41,0
Stade Brestois 29 vs Auxerre,Stade Brestois 29,Stade Brestois 29,Auxerre,2,0,2-0,4,4,11,3,7,4,16,7,1,0.5,3,0,1,451,369,0.82,1.88,0
Stade Brestois 29 vs Auxerre,Auxerre,Stade Brestois 29,Auxerre,2,0,2-0,1,5,10,4,7,3,9,6,0,0.5,2,0,2,450,374,0.83,0.74,0
Le Havre vs Angers,Le Havre,Le Havre,Angers,2,1,2-1,6,3,11,2,8,3,15,6,1,0.5,1,0,2,398,325,0.82,1.02,0
Le Havre vs Angers,Angers,Le Havre,Angers,2,1,2-1,3,3,9,3,6,3,8,6,2,0.5,1,0,3,409,313,0.77,0.55,0
Paris Saint Germain vs Paris FC,Paris Saint Germain,Paris Saint Germain,Paris FC,2,1,2-1,6,10,20,4,11,9,7,7,0,0.7,1,0,2,782,708,0.91,1.71,0
Paris Saint Germain vs Paris FC,Paris FC,Paris Saint Germain,Paris FC,2,1,2-1,3,3,6,0,3,3,4,1,2,0.3,0,0,4,332,262,0.79,1.01,0
