fixture,team,player_id,name,position,minutes,rating,goals,assists,shots_total,shots_on,passes_total,accurate_passes,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total,pass_accuracy_%,shots_on_target_ratio,goal_conversion_rate,duel_win_ratio,tackle_success_rate,goal_involvement,cards_total,cards_per_90,fouls_per_90,cards_per_foul,duel_foul_ratio,avg_rating_last_4,avg_goals_last_4,avg_assists_last_4,goal_involvement_last_4,form_index,performance_variance,aggression_index_norm,form_index_team,control_index,opponent,aggression_index_norm_opp,cards_per_90_team,fouls_per_90_team,form_index_team_opp,control_index_opp,cards_per_90_team_opp,fouls_per_90_team_opp,agg_diff,form_diff,control_diff,is_defensive,expected_foul_pressure,expected_card_risk
arsenal vs manchester city,arsenal,19586,Eberechi Eze,M,45,7.2,0.0,1,1.0,1.0,23.0,4.6,1.0,0.0,0.0,1.0,0,0,2.0,4.0,20.0,1.0,0.0,0.5,0.25,1.0,0,0.0,0.0,0.0,0.0,7.2,0.0,1.0,1.0,4.720000000000001,0.0,0.433085194375517,1.35,0.6724151597472106,manchester city,0.41296755812884844,2,10.0,-0.09999999999999998,0.23151899583836755,0,0,0.02011763624666857,1.4500000000000002,0.440896163908843,0,0.0,0.0
arsenal vs nottingham forest,arsenal,19586,Eberechi Eze,F,79,8.3,0.0,1,0.0,0.0,24.0,4.8,0.0,0.0,0.0,2.0,0,0,6.0,10.0,20.0,0.0,0.0,0.6,0.0,1.0,0,0.0,0.0,0.0,0.0,7.75,0.0,1.0,1.0,5.05,0.6050000000000011,0.261579818031431,1.3,0.5097272330508547,nottingham forest,0.4339554788362643,1,11.0,-0.3,0.3677583853824589,0,0,-0.1723756608048333,1.6,0.14196884766839574,0,0.0,0.0
arsenal vs west ham,arsenal,19586,Eberechi Eze,M,79,6.6,0.0,0,2.0,1.0,32.0,9.0,2.0,1.0,1.0,0.0,0,0,3.0,5.0,28.0,0.5,0.0,0.6,0.4,0.0,0,0.0,1.139240506329114,0.0,0.2,7.366666666666667,0.0,0.6666666666666666,0.6666666666666666,4.6866666666666665,0.743333333333334,0.570168183071409,1.225,0.5965649810940544,west ham,0.6387724252017912,2,14.0,-0.6,0.24915064227793773,0,0,-0.06860424213038219,1.8250000000000002,0.3474143388161167,0,0.0,0.0
chelsea vs crystal palace,crystal palace,19586,Eberechi Eze,F,84,6.6,0.0,0,3.0,2.0,21.0,3.4,1.0,0.0,2.0,1.0,0,0,4.0,9.0,16.0,0.6666666666666666,0.0,0.4444444444444444,0.1111111111111111,0.0,0,0.0,2.142857142857143,0.0,0.2222222222222222,7.175,0.0,0.5,0.5,4.505,0.6425000000000004,0.5600478296831735,-0.1499999999999999,0.19716755352325016,chelsea,0.4098083815825751,2,10.0,-0.29999999999999993,0.6750138973186683,0,0,0.15023944810059836,0.15000000000000002,-0.4778463437954182,0,0.0,0.0
fulham vs arsenal,arsenal,19586,Eberechi Eze,M,62,6.6,0.0,0,0.0,0.0,27.0,6.5,0.0,0.0,0.0,1.0,0,0,2.0,3.0,24.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,0.0,0.0,0.0,0.0,7.025,0.0,0.25,0.25,4.3149999999999995,0.7225000000000003,0.0,1.08,0.6353815134088271,fulham,0.39822473424623966,0,11.0,-0.3,0.31281728533581066,0,0,-0.39822473424623966,1.3800000000000001,0.32256422807301643,0,0.0,0.0
liverpool vs arsenal,arsenal,19586,Eberechi Eze,M,20,6.7,0.0,0,0.0,0.0,9.0,0.8,0.0,0.0,0.0,0.0,0,0,2.0,4.0,9.0,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,6.625,0.0,0.0,0.0,3.9749999999999996,0.002499999999998826,0.41022044808861086,0.45999999999999996,0.42118342735995606,liverpool,0.23858101277456112,2,7.0,-0.17499999999999993,0.418344674823281,0,0,0.17163943531404974,0.6349999999999999,0.0028387525366750377,0,0.0,0.0
newcastle vs arsenal,arsenal,19586,Eberechi Eze,M,90,6.5,0.0,0,3.0,2.0,35.0,9.8,0.0,0.0,1.0,0.0,0,0,3.0,8.0,28.0,0.6666666666666666,0.0,0.375,0.0,0.0,0,0.0,1.0,0.0,0.125,6.6,0.0,0.0,0.0,3.9599999999999995,0.006666666666665406,0.3182472039414536,0.18,0.572219435596399,newcastle,0.2956989247311828,2,8.0,-0.15999999999999998,0.3086451309766628,0,0,0.022548279210270805,0.33999999999999997,0.2635743046197362,0,0.0,0.0
aston villa vs burnley,aston villa,19599,Emiliano Martínez,G,90,7.0,0.0,0,0.0,0.0,46.0,18.9,0.0,0.0,0.0,0.0,1,0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.2,0.0,0.3883592355578774,0.10000000000000009,0.5203382192457096,burnley,0.6590674110835403,1,15.0,0.2,0.3977282777790939,0,0,-0.2707081755256629,-0.09999999999999992,0.12260994146661564,0,0.0,0.0
aston villa vs fulham,aston villa,19599,Emiliano Martínez,G,90,6.9,0.0,0,0.0,0.0,39.0,11.3,0.0,0.0,0.0,1.0,0,0,1.0,1.0,29.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.95,0.0,0.0,0.0,4.17,0.0049999999999999645,0.3795917870870432,0.2333333333333334,0.3421170410403648,fulham,0.6509925558312657,4,13.0,-0.7,0.45170517003546823,0,0,-0.2714007687442225,0.9333333333333333,-0.10958812899510345,0,0.0,0.0
brentford vs aston villa,aston villa,19599,Emiliano Martínez,G,90,7.5,0.0,0,0.0,0.0,33.0,10.2,0.0,0.0,0.0,1.0,0,0,1.0,1.0,31.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.133333333333333,0.0,0.0,0.0,4.279999999999999,0.10333333333333317,0.35424012885812545,-0.09999999999999998,0.635049550112341,brentford,0.429661312089156,1,11.0,0.2,0.15543979962622237,0,0,-0.07542118323103053,-0.3,0.47960975048611865,0,0.0,0.0
everton vs aston villa,aston villa,19599,Emiliano Martínez,G,90,6.9,0.0,0,0.0,0.0,34.0,6.1,0.0,0.0,0.0,1.0,0,0,2.0,2.0,18.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.075,0.0,0.0,0.0,4.245,0.08249999999999988,0.735835401157982,-0.3,0.34798085313464894,everton,0.8463163180905119,3,17.0,-0.8999999999999999,0.4252667115980504,0,0,-0.11048091693252993,0.5999999999999999,-0.07728585846340147,0,0.0,0.0
sunderland vs aston villa,aston villa,19599,Emiliano Martínez,G,90,6.6,0.0,0,0.0,0.0,23.0,4.8,0.0,0.0,0.0,1.0,0,0,1.0,1.0,21.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.975,0.0,0.0,0.0,4.185,0.14250000000000013,0.26547914451140253,-0.14,0.5137429032963456,sunderland,0.6737049290812734,3,14.0,-0.46,0.2506162085668786,0,0,-0.4082257845698709,0.32,0.26312669472946704,0,0.0,0.0
