fixture,team,home_team,away_team,home_goals,away_goals,final_score,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
FC Augsburg vs FSV Mainz 05,FC Augsburg,FC Augsburg,FSV Mainz 05,1,4,1-4,5,9,18,4,11,7,13,6,2,0.61,1,0,0,485,414,0.85,1.12,0
FC Augsburg vs FSV Mainz 05,FSV Mainz 05,FC Augsburg,FSV Mainz 05,1,4,1-4,4,4,12,4,11,1,10,6,2,0.39,2,1,4,327,234,0.72,2.52,0
Hamburger SV vs 1. FC Heidenheim,Hamburger SV,Hamburger SV,1. FC Heidenheim,2,1,2-1,9,8,22,5,15,7,15,1,1,0.49,5,0,6,395,337,0.85,2.35,0
Hamburger SV vs 1. FC Heidenheim,1. FC Heidenheim,Hamburger SV,1. FC Heidenheim,2,1,2-1,8,6,20,6,15,5,10,12,2,0.51,1,0,7,391,325,0.83,2.98,0
RB Leipzig vs 1.FC Köln,RB Leipzig,RB Leipzig,1.FC Köln,3,1,3-1,8,7,18,3,14,4,10,9,3,0.47,1,0,0,421,366,0.87,3.28,1
RB Leipzig vs 1.FC Köln,1.FC Köln,RB Leipzig,1.FC Köln,3,1,3-1,2,5,13,6,8,5,8,5,0,0.53,1,0,5,474,412,0.87,1.7,1
Eintracht Frankfurt vs Union Berlin,Eintracht Frankfurt,Eintracht Frankfurt,Union Berlin,3,4,3-4,10,3,19,6,12,7,10,5,2,0.78,3,0,1,674,589,0.87,1.9,0
Eintracht Frankfurt vs Union Berlin,Union Berlin,Eintracht Frankfurt,Union Berlin,3,4,3-4,5,3,11,3,9,2,11,1,5,0.22,2,0,7,193,112,0.58,1.64,0
Bayer Leverkusen vs Borussia Mönchengladbach,Bayer Leverkusen,Bayer Leverkusen,Borussia Mönchengladbach,1,1,1-1,9,2,13,2,10,3,12,3,2,0.62,5,0,6,675,606,0.9,1.46,0
Bayer Leverkusen vs Borussia Mönchengladbach,Borussia Mönchengladbach,Bayer Leverkusen,Borussia Mönchengladbach,1,1,1-1,7,2,13,4,10,3,15,4,3,0.38,5,0,7,413,346,0.84,0.81,0
Borussia Dortmund vs VfL Wolfsburg,Borussia Dortmund,Borussia Dortmund,VfL Wolfsburg,1,0,1-0,4,6,12,2,7,5,10,9,2,0.56,1,0,0,528,464,0.88,1.1,0
Borussia Dortmund vs VfL Wolfsburg,VfL Wolfsburg,Borussia Dortmund,VfL Wolfsburg,1,0,1-0,0,6,9,3,4,5,9,3,0,0.44,0,0,3,429,360,0.84,0.8,0
Bayern München vs Werder Bremen,Bayern München,Bayern München,Werder Bremen,4,0,4-0,13,7,26,6,17,9,9,7,0,0.59,2,0,3,664,587,0.88,3.46,0
Bayern München vs Werder Bremen,Werder Bremen,Bayern München,Werder Bremen,4,0,4-0,3,2,9,4,6,3,4,6,2,0.41,0,0,8,451,359,0.8,0.41,0
VfL Wolfsburg vs RB Leipzig,VfL Wolfsburg,VfL Wolfsburg,RB Leipzig,0,1,0-1,4,9,22,9,17,5,7,6,0,0.51,2,0,5,447,367,0.82,3.05,0
VfL Wolfsburg vs RB Leipzig,RB Leipzig,VfL Wolfsburg,RB Leipzig,0,1,0-1,6,6,20,8,10,10,9,11,5,0.49,2,0,4,435,358,0.82,2.41,0
FSV Mainz 05 vs Borussia Dortmund,FSV Mainz 05,FSV Mainz 05,Borussia Dortmund,0,2,0-2,2,5,8,1,6,2,12,7,5,0.49,2,1,2,369,275,0.75,0.48,0
FSV Mainz 05 vs Borussia Dortmund,Borussia Dortmund,FSV Mainz 05,Borussia Dortmund,0,2,0-2,4,3,10,3,8,2,14,5,2,0.51,1,0,2,389,300,0.77,1.44,0
1. FC Heidenheim vs FC Augsburg,1. FC Heidenheim,1. FC Heidenheim,FC Augsburg,2,1,2-1,5,6,11,0,8,3,16,3,1,0.48,1,0,1,369,274,0.74,1.24,0
1. FC Heidenheim vs FC Augsburg,FC Augsburg,1. FC Heidenheim,FC Augsburg,2,1,2-1,2,4,8,2,6,2,20,2,2,0.52,6,0,3,407,330,0.81,0.82,0
FC St. Pauli vs Bayer Leverkusen,FC St. Pauli,FC St. Pauli,Bayer Leverkusen,1,2,1-2,6,6,13,1,7,6,13,13,2,0.49,3,0,2,447,372,0.83,0.82,0
FC St. Pauli vs Bayer Leverkusen,Bayer Leverkusen,FC St. Pauli,Bayer Leverkusen,1,2,1-2,4,0,5,1,4,1,11,1,0,0.51,5,0,4,490,414,0.84,0.69,0
Borussia Mönchengladbach vs Eintracht Frankfurt,Borussia Mönchengladbach,Borussia Mönchengladbach,Eintracht Frankfurt,4,6,4-6,8,1,11,2,9,2,14,4,4,0.39,1,0,1,362,291,0.8,1.7,0
Borussia Mönchengladbach vs Eintracht Frankfurt,Eintracht Frankfurt,Borussia Mönchengladbach,Eintracht Frankfurt,4,6,4-6,7,6,21,8,13,8,8,6,1,0.61,2,0,4,587,496,0.84,2.8,0
SC Freiburg vs 1899 Hoffenheim,SC Freiburg,SC Freiburg,1899 Hoffenheim,1,1,1-1,1,3,6,2,6,0,9,6,1,0.43,2,0,3,297,205,0.69,1.31,0
SC Freiburg vs 1899 Hoffenheim,1899 Hoffenheim,SC Freiburg,1899 Hoffenheim,1,1,1-1,4,3,15,8,11,4,15,8,2,0.57,1,0,0,400,310,0.78,2.54,0
1.FC Köln vs VfB Stuttgart,1.FC Köln,1.FC Köln,VfB Stuttgart,1,2,1-2,7,5,15,3,10,5,12,8,4,0.43,2,0,3,383,309,0.81,1.08,0
