player_id,name,team,position,minutes,goals,assists,shots_total,shots_on,passes_total,accurate_passes,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total,goals_per_90,assists_per_90,shots_accuracy,pass_accuracy_pct,duel_success_rate,defensive_contrib_per_90,discipline_index
181734,Josep Chavarría,Rayo Vallecano,D,742,1.0,1.0,3.0,1.0,388,322.0,18.0,12.0,11.0,12.0,3,0,42.0,71.0,0.121,0.121,0.333,82.99,59.155,3.639,0.697
182150,Sergio Lozano,Levante,M,12,0.0,0.0,0.0,0.0,7,7.0,2.0,0.0,0.0,0.0,0,0,2.0,5.0,0.0,0.0,,100.0,40.0,15.0,0.0
182181,Jesús Areso,Athletic Club,D,681,0.0,1.0,1.0,0.0,257,213.0,11.0,4.0,9.0,4.0,1,0,35.0,61.0,0.0,0.132,0.0,82.879,57.377,1.982,0.43
182219,Alejandro Baena,Atletico Madrid,M,145,0.0,0.0,1.0,1.0,65,57.0,2.0,1.0,5.0,4.0,1,0,8.0,23.0,0.0,0.0,1.0,87.692,34.783,1.862,1.397
182486,Alberto Reina,Oviedo,M,432,1.0,0.0,5.0,2.0,228,197.0,10.0,3.0,9.0,8.0,4,1,21.0,43.0,0.208,0.0,0.4,86.404,48.837,2.708,1.719
182519,Alberto Moleiro,Villarreal,F,114,0.0,0.0,2.0,0.0,24,20.0,1.0,0.0,0.0,3.0,0,0,7.0,13.0,0.0,0.0,0.0,83.333,53.846,0.789,0.0
182519,Alberto Moleiro,Villarreal,M,332,2.0,1.0,7.0,3.0,106,85.0,4.0,0.0,1.0,2.0,0,0,11.0,26.0,0.542,0.271,0.429,80.189,42.308,1.084,0.068
182546,Jon Pacheco,Alaves,D,285,0.0,0.0,0.0,0.0,148,125.0,8.0,0.0,4.0,0.0,1,0,18.0,32.0,0.0,0.0,,84.459,56.25,2.526,0.632
182592,Jorge Herrando,Osasuna,D,267,0.0,0.0,0.0,0.0,100,87.0,9.0,5.0,2.0,0.0,0,0,11.0,16.0,0.0,0.0,,87.0,68.75,4.719,0.169
182603,Jon Ander Olasagasti,Levante,M,216,0.0,0.0,1.0,0.0,105,91.0,4.0,1.0,6.0,6.0,0,0,14.0,31.0,0.0,0.0,0.0,86.667,45.161,2.083,0.625
182617,Beñat Prados,Athletic Club,M,85,0.0,0.0,1.0,0.0,49,37.0,3.0,2.0,5.0,0.0,1,0,6.0,14.0,0.0,0.0,0.0,75.51,42.857,5.294,2.382
182621,Iker Muñoz,Osasuna,M,34,0.0,0.0,0.0,0.0,19,17.0,1.0,1.0,1.0,0.0,0,0,1.0,3.0,0.0,0.0,,89.474,33.333,5.294,0.662
182636,Javi López,Oviedo,D,65,0.0,0.0,0.0,0.0,20,17.0,0.0,0.0,4.0,1.0,0,0,1.0,6.0,0.0,0.0,,85.0,16.667,0.0,1.385
182638,Manu Fernández,Celta Vigo,D,331,0.0,0.0,2.0,0.0,259,235.0,6.0,2.0,4.0,5.0,0,0,14.0,19.0,0.0,0.0,0.0,90.734,73.684,2.175,0.272
182639,Unai Vencedor,Levante,M,322,0.0,0.0,0.0,0.0,174,143.0,11.0,3.0,12.0,6.0,1,0,20.0,46.0,0.0,0.0,,82.184,43.478,3.913,1.118
182661,Alvaro Núñez,Elche,D,443,0.0,0.0,0.0,0.0,300,274.0,4.0,5.0,2.0,7.0,0,0,15.0,26.0,0.0,0.0,,91.333,57.692,1.828,0.102
182661,Alvaro Núñez,Elche,M,360,0.0,0.0,1.0,0.0,126,114.0,4.0,2.0,1.0,2.0,0,0,11.0,23.0,0.0,0.0,0.0,90.476,47.826,1.5,0.062
182674,Jofre Carreras,Espanyol,F,42,0.0,0.0,0.0,0.0,6,4.0,2.0,1.0,2.0,2.0,0,0,5.0,10.0,0.0,0.0,,66.667,50.0,6.429,1.071
182674,Jofre Carreras,Espanyol,M,45,0.0,0.0,0.0,0.0,7,6.0,0.0,0.0,1.0,1.0,0,0,1.0,3.0,0.0,0.0,,85.714,33.333,0.0,0.5
182718,Joan García,Barcelona,G,540,0.0,0.0,0.0,0.0,134,123.0,1.0,0.0,0.0,1.0,0,0,6.0,6.0,0.0,0.0,,91.791,100.0,0.167,0.0
182770,Carlos Álvarez,Levante,M,578,2.0,1.0,6.0,5.0,199,162.0,11.0,2.0,7.0,13.0,1,0,31.0,73.0,0.311,0.156,0.833,81.407,42.466,2.024,0.428
182772,Juanlu Sánchez,Sevilla,D,175,0.0,1.0,1.0,0.0,83,73.0,7.0,0.0,4.0,5.0,0,0,14.0,24.0,0.0,0.514,0.0,87.952,58.333,3.6,0.514
182772,Juanlu Sánchez,Sevilla,M,306,0.0,0.0,1.0,1.0,126,95.0,5.0,2.0,3.0,9.0,0,0,27.0,48.0,0.0,0.0,1.0,75.397,56.25,2.059,0.221
183699,Urko González,Espanyol,M,331,0.0,0.0,1.0,0.0,129,106.0,6.0,3.0,4.0,4.0,0,0,14.0,38.0,0.0,0.0,0.0,82.171,36.842,2.447,0.272
183699,Urko González,Real Sociedad,M,11,0.0,0.0,0.0,0.0,4,4.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,100.0,,0.0,0.0
183744,Beñat Turrientes,Real Sociedad,M,240,0.0,0.0,4.0,1.0,102,89.0,8.0,2.0,8.0,3.0,2,0,19.0,34.0,0.0,0.0,0.25,87.255,55.882,3.75,1.5
183748,Jon Karrikaburu,Real Sociedad,F,70,0.0,0.0,2.0,2.0,10,6.0,1.0,0.0,1.0,3.0,0,0,5.0,14.0,0.0,0.0,1.0,60.0,35.714,1.286,0.321
183751,Abderrahman Rebbach,Alaves,F,65,0.0,0.0,3.0,2.0,40,31.0,4.0,3.0,0.0,2.0,0,0,8.0,12.0,0.0,0.0,0.667,77.5,66.667,9.692,0.0
183751,Abderrahman Rebbach,Alaves,M,252,0.0,0.0,4.0,2.0,79,64.0,4.0,3.0,13.0,7.0,1,0,16.0,47.0,0.0,0.0,0.5,81.013,34.043,2.5,1.518
183776,Urko Izeta,Athletic Club,F,18,0.0,0.0,0.0,0.0,9,5.0,1.0,0.0,2.0,0.0,1,0,1.0,5.0,0.0,0.0,,55.556,20.0,5.0,7.5
183799,Nico Williams,Athletic Club,F,88,0.0,0.0,0.0,0.0,27,23.0,2.0,0.0,2.0,2.0,0,0,7.0,19.0,0.0,0.0,,85.185,36.842,2.045,0.511
183799,Nico Williams,Athletic Club,M,256,1.0,1.0,6.0,3.0,92,71.0,3.0,0.0,4.0,8.0,0,0,27.0,51.0,0.352,0.352,0.5,77.174,52.941,1.055,0.352
183848,Julen Agirrezabala,Valencia,G,720,0.0,0.0,0.0,0.0,242,164.0,0.0,0.0,0.0,0.0,1,0,5.0,5.0,0.0,0.0,,67.769,100.0,0.0,0.125
183849,Aitor Paredes,Athletic Club,D,555,1.0,0.0,3.0,2.0,369,326.0,10.0,7.0,4.0,3.0,1,0,22.0,33.0,0.162,0.0,0.667,88.347,66.667,2.757,0.324
184194,Álex Forés,Oviedo,F,114,0.0,0.0,2.0,2.0,23,16.0,0.0,0.0,1.0,1.0,0,0,3.0,6.0,0.0,0.0,1.0,69.565,50.0,0.0,0.197
184226,Yéremy Pino,Villarreal,M,160,0.0,1.0,2.0,1.0,88,73.0,2.0,2.0,2.0,0.0,0,0,2.0,10.0,0.0,0.562,0.5,82.955,20.0,2.25,0.281
184407,Jose Salinas,Espanyol,D,37,0.0,0.0,0.0,0.0,9,4.0,0.0,0.0,3.0,0.0,1,0,0.0,4.0,0.0,0.0,,44.444,0.0,0.0,4.257
184420,Carlos Romero,Espanyol,D,802,1.0,1.0,6.0,2.0,245,205.0,21.0,10.0,13.0,3.0,0,0,41.0,79.0,0.112,0.112,0.333,83.673,51.899,3.479,0.365
184459,Álex Sancris,Getafe,F,263,0.0,0.0,2.0,1.0,69,42.0,4.0,0.0,5.0,3.0,2,1,9.0,35.0,0.0,0.0,0.5,60.87,25.714,1.369,1.797
185398,Isaac Romero,Sevilla,F,495,3.0,0.0,12.0,5.0,107,80.0,7.0,0.0,11.0,8.0,2,0,24.0,76.0,0.545,0.0,0.417,74.766,31.579,1.273,0.864
187214,Carlos Vicente,Alaves,F,188,2.0,0.0,2.0,2.0,60,47.0,4.0,3.0,1.0,8.0,0,0,14.0,29.0,0.957,0.0,1.0,78.333,48.276,3.351,0.12
187214,Carlos Vicente,Alaves,M,401,1.0,0.0,3.0,2.0,177,144.0,15.0,1.0,5.0,12.0,0,0,35.0,65.0,0.224,0.0,0.667,81.356,53.846,3.591,0.281
187318,Marc Aguado,Elche,M,482,0.0,0.0,0.0,0.0,318,289.0,8.0,12.0,4.0,9.0,0,0,18.0,26.0,0.0,0.0,,90.881,69.231,3.734,0.187
187987,Ramón Terrats,Espanyol,M,111,0.0,0.0,2.0,0.0,33,24.0,5.0,0.0,2.0,2.0,0,0,13.0,26.0,0.0,0.0,0.0,72.727,50.0,4.054,0.405
189866,John Nwankwo,Elche,D,83,0.0,0.0,0.0,0.0,43,36.0,3.0,2.0,2.0,1.0,1,0,6.0,12.0,0.0,0.0,,83.721,50.0,5.422,1.627
189866,John Nwankwo,Elche,M,90,1.0,0.0,2.0,2.0,61,57.0,2.0,0.0,1.0,1.0,0,0,4.0,10.0,1.0,0.0,1.0,93.443,40.0,2.0,0.25
190485,Samú Costa,Mallorca,M,428,1.0,0.0,4.0,3.0,200,155.0,12.0,3.0,9.0,11.0,1,0,38.0,80.0,0.21,0.0,0.75,77.5,47.5,3.154,0.683
192032,Iván Romero,Levante,F,704,4.0,0.0,17.0,7.0,140,96.0,6.0,2.0,14.0,25.0,1,0,58.0,116.0,0.511,0.0,0.412,68.571,50.0,1.023,0.575
195100,Natan,Real Betis,D,810,0.0,0.0,5.0,1.0,448,391.0,5.0,6.0,8.0,4.0,3,0,40.0,77.0,0.0,0.0,0.2,87.277,51.948,1.222,0.556
195923,José Ángel Carmona,Sevilla,D,469,1.0,1.0,3.0,2.0,205,175.0,14.0,4.0,9.0,14.0,2,0,40.0,66.0,0.192,0.192,0.667,85.366,60.606,3.454,0.816
195923,José Ángel Carmona,Sevilla,M,176,0.0,2.0,1.0,0.0,63,50.0,6.0,1.0,1.0,1.0,1,0,12.0,20.0,0.0,1.023,0.0,79.365,60.0,3.58,0.639
197196,Ramón Martínez,Sevilla,D,100,0.0,0.0,0.0,0.0,64,57.0,0.0,1.0,1.0,1.0,0,0,2.0,6.0,0.0,0.0,,89.062,33.333,0.9,0.225
