fixture,team,goals,assists,shots_total_x,shots_on_x,passes_total,accurate_passes,fouls_committed,yellow_cards,red_cards,minutes,tackles,interceptions,shots_accuracy_for,pass_accuracy_team,expected_goals,goals_prevented,possession,corners,shots_total_y,shots_on_y,shots_on,shots_total,dominance_index,goal_conversion_rate,shot_on_target_ratio,control_index,cards_total,fouls_per_90_team,cards_per_90_team,cards_per_foul_team,fouls_per_duel_team,aggression_index_raw,aggression_index_norm,avg_goals_last_5,avg_cards_last_5,form_index_team
Lazio vs Torino,Torino,3.0,2.0,15.0,8.0,425,352.0,22.0,3,0,990,12.0,11.0,0.5333333333333333,0.8282352941176471,1.76,-1,0.51,5,16,8,0,0,0.31114285714285717,0,0,0.5903981921716055,3,22.0,3,0.13636363636363635,0.9565217391304348,12.091304347826087,0.3514901050209829,1.3333333333333333,2.0,0.06666666666666665
Parma vs Torino,Torino,1.0,1.0,7.0,4.0,442,363.0,12.0,3,0,1002,16.0,6.0,0.5714285714285714,0.8212669683257918,0.76,-1,0.63,3,15,4,0,0,0.3162857142857143,0,0,0.5625366796516177,3,12.0,3,0.25,0.5454545454545454,7.00909090909091,0.17718587145338738,1.25,2.25,-0.04999999999999993
Torino vs Atalanta,Torino,0.0,0.0,8.0,5.0,386,324.0,11.0,0,0,990,14.0,12.0,0.625,0.8393782383419689,1.2,1,0.39,1,11,5,0,0,0.17742857142857146,0,0,0.5292050966145934,0,11.0,0,0.0,0.4230769230769231,5.584615384615384,0.1283307579240945,1.0,1.8,-0.040000000000000036
Torino vs Fiorentina,Torino,0.0,0.0,6.0,4.0,292,225.0,21.0,2,0,990,7.0,6.0,0.6666666666666666,0.7705479452054794,1.02,1,0.45,7,7,4,0,0,0.33,0,0,0.5573134462869502,2,21.0,2,0.09523809523809523,1.6153846153846154,11.423076923076923,0.32857196698450986,0.8,1.6,-0.07999999999999996
Torino vs Napoli,Torino,1.0,0.0,10.0,2.0,281,214.0,9.0,1,0,1006,13.0,11.0,0.2,0.7615658362989324,2.0,0,0.31,3,12,2,0,0,0.18828571428571428,0,0,0.4929657189013459,1,9.0,1,0.1111111111111111,0.375,4.875,0.10399314061734444,1.0,1.8,-0.040000000000000036
Cremonese vs Udinese,Udinese,1.0,1.0,6.0,1.0,339,276.0,14.0,2,0,990,21.0,6.0,0.16666666666666666,0.8141592920353983,0.59,0,0.48,4,8,1,0,0,0.2777142857142857,0,0,0.5478573715816089,2,14.0,2,0.14285714285714285,0.5185185185185185,7.703703703703703,0.20100894623187615,1.0,2.0,-0.09999999999999998
Inter vs Udinese,Udinese,2.0,1.0,9.0,5.0,245,179.0,5.0,3,0,990,8.0,4.0,0.5555555555555556,0.7306122448979592,1.21,0,0.32,2,10,5,0,0,0.17085714285714285,0,0,0.4543216299677766,3,5.0,3,0.6,0.4166666666666667,3.4833333333333334,0.05626326963906581,1.5,2.5,0.0
Pisa vs Udinese,Udinese,1.0,0.0,7.0,3.0,375,301.0,15.0,2,0,990,13.0,5.0,0.42857142857142855,0.8026666666666666,1.0,0,0.49,6,13,3,0,0,0.32457142857142857,0,0,0.5795640664160401,2,15.0,2,0.13333333333333333,0.8333333333333334,8.266666666666666,0.22031683815123299,1.3333333333333333,2.3333333333333335,-0.03333333333333344
Sassuolo vs Udinese,Udinese,1.0,0.0,11.0,5.0,404,342.0,22.0,3,0,990,12.0,8.0,0.45454545454545453,0.8465346534653465,1.32,-1,0.56,5,12,5,0,0,0.3311428571428572,0,0,0.5943669507928236,3,22.0,3,0.13636363636363635,1.1,12.120000000000001,0.35247427731504166,1.25,2.5,-0.125
Udinese vs AC Milan,Udinese,0.0,0.0,7.0,4.0,393,351.0,9.0,2,0,990,13.0,11.0,0.5714285714285714,0.8931297709923665,0.34,0,0.4,1,10,4,0,0,0.18142857142857147,0,0,0.5578078366240027,2,9.0,2,0.2222222222222222,0.375,5.175,0.11428221460068592,1.0,2.4,-0.21999999999999997
Udinese vs Cagliari,Udinese,1.0,1.0,13.0,4.0,441,368.0,14.0,1,0,1002,14.0,10.0,0.3076923076923077,0.8344671201814059,2.68,1,0.6000000000000001,7,23,4,0,0,0.39,0,0,0.6260329021959661,1,14.0,1,0.07142857142857142,0.5833333333333334,7.416666666666666,0.19116446186509875,1.0,2.2,-0.16000000000000003
Udinese vs Verona,Udinese,1.0,1.0,10.0,4.0,478,416.0,10.0,3,0,990,13.0,3.0,0.4,0.8702928870292888,0.72,0,0.63,5,14,4,0,0,0.35914285714285715,0,0,0.6245026465221631,3,10.0,3,0.3,0.625,6.025,0.14343459088682017,0.8,2.2,-0.26
AS Roma vs Verona,Verona,0.0,0.0,9.0,3.0,320,217.0,19.0,4,0,1013,18.0,15.0,0.3333333333333333,0.678125,1.3800000000000001,0,0.43,1,12,3,0,0,0.19342857142857145,0,0,0.4322955827067669,4,19.0,4,0.21052631578947367,0.5757575757575758,10.815151515151515,0.3077220019895179,0.0,4.0,-1.2
Lazio vs Verona,Verona,0.0,0.0,9.0,4.0,300,236.0,19.0,0,0,990,19.0,9.0,0.4444444444444444,0.7866666666666666,0.77,0,0.30000000000000004,1,12,4,0,0,0.14142857142857146,0,0,0.48163220551378444,0,19.0,0,0.0,0.6785714285714286,9.635714285714286,0.2672709456148946,0.0,2.0,-0.6
Pisa vs Verona,Verona,0.0,0.0,11.0,3.0,290,197.0,14.0,2,0,996,22.0,4.0,0.2727272727272727,0.6793103448275862,1.54,0,0.4,8,15,3,0,0,0.3314285714285714,0,0,0.5254869393310864,2,14.0,2,0.14285714285714285,0.5384615384615384,7.707692307692307,0.20114574303697277,0.0,2.0,-0.6
Udinese vs Verona,Verona,1.0,1.0,7.0,3.0,286,210.0,14.0,2,0,990,22.0,10.0,0.42857142857142855,0.7342657342657343,0.56,0,0.37,1,9,3,0,0,0.16942857142857143,0,0,0.45197779194489723,2,14.0,2,0.14285714285714285,0.4375,7.6875,0.20045320921117096,0.25,2.0,-0.475
Verona vs Cremonese,Verona,0.0,0.0,15.0,9.0,413,332.0,18.0,2,0,990,11.0,10.0,0.6,0.8038740920096852,1.52,1,0.46,10,20,9,0,0,0.3982857142857143,0,0,0.6466856362304065,2,18.0,2,0.1111111111111111,0.8571428571428571,9.77142857142857,0.2719255267025967,0.2,2.0,-0.5
Verona vs Juventus,Verona,1.0,0.0,11.0,4.0,211,143.0,18.0,3,0,988,23.0,15.0,0.36363636363636365,0.6777251184834123,1.53,0,0.28,5,14,4,0,0,0.21914285714285714,0,0,0.4623470517229092,3,18.0,3,0.16666666666666666,0.47368421052631576,9.994736842105263,0.27958431109621185,0.4,1.8,-0.34
Verona vs Sassuolo,Verona,0.0,0.0,15.0,9.0,438,348.0,14.0,2,0,1004,17.0,6.0,0.6,0.7945205479452054,0.8,1,0.58,4,17,9,0,0,0.31771428571428567,0,0,0.5624623416417757,2,14.0,2,0.14285714285714285,0.6086956521739131,7.721739130434782,0.20162750569840016,0.4,2.2,-0.46
