fixture,team,player_id,name,position,minutes,rating,goals,assists,shots_total,shots_on,passes_total,accurate_passes,pass_accuracy_%,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total,shots_on_target_ratio,goal_conversion_rate,duel_win_ratio,tackle_success_rate,goal_involvement,cards_total,cards_per_90,fouls_per_90,cards_per_foul,duel_foul_ratio,avg_rating_last_4,avg_goals_last_4,avg_assists_last_4,goal_involvement_last_4,form_index,performance_variance,aggression_index_norm,form_index_team,control_index,opponent,aggression_index_norm_opp,cards_per_90_team,fouls_per_90_team,form_index_team_opp,control_index_opp,cards_per_90_team_opp,fouls_per_90_team_opp,agg_diff,form_diff,control_diff,is_defensive,expected_foul_pressure,expected_card_risk
verona vs juventus,juventus,268341,Federico Gatti,D,90,7.2,0.0,0.0,1.0,0.0,77,68.0,88.3,1.0,0.0,0.0,2.0,1,0,8.0,9.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,1,1.0,0.0,0.0,0.0,6.725,0.0,0.0,0.0,4.034999999999999,0.16250000000000067,0.14226537793416777,0.26,0.6176926691729323,verona,0.27958431109621185,3,18.0,-0.34,0.4623470517229092,0,0,-0.13731893316204408,0.6000000000000001,0.15534561745002312,0,0.0,0.0
as roma vs torino,torino,270507,Cesare Casadei,M,64,6.2,0.0,0.0,1.0,0.0,12,7.0,58.3,3.0,0.0,3.0,1.0,0,0,7.0,18.0,0.0,0.0,0.3888888888888889,0.16666666666666666,0.0,0,0.0,4.21875,0.0,0.16666666666666666,6.2,0.0,0.0,0.0,3.7199999999999998,0.0,0.2633512983831455,-0.3999999999999999,0.4596929367982737,as roma,0.1499780809200856,2,11.0,-0.9333333333333332,0.6947117528991972,0,0,0.11337321746305992,0.5333333333333333,-0.23501881610092346,0,0.0,0.0
inter vs torino,torino,270507,Cesare Casadei,M,90,6.7,0.0,0.0,1.0,1.0,30,27.0,90.0,0.0,0.0,0.0,1.0,0,0,4.0,5.0,1.0,0.0,0.8,0.0,0.0,0,0.0,0.0,0.0,0.0,6.45,0.0,0.0,0.0,3.87,0.125,0.0428522971394113,-0.19999999999999996,0.5976495390025195,inter,0.18167564919157275,0,14.0,0.7399999999999999,0.6873383564522224,0,0,-0.13882335205216145,-0.9399999999999998,-0.08968881744970292,0,0.0,0.0
lazio vs torino,torino,270507,Cesare Casadei,M,90,6.3,0.0,0.0,0.0,0.0,34,27.0,79.4,0.0,1.0,5.0,3.0,1,0,7.0,14.0,0.0,0.0,0.5,0.0,0.0,1,1.0,5.0,0.2,0.35714285714285715,6.3999999999999995,0.0,0.0,0.0,3.8399999999999994,0.07000000000000006,0.3514901050209829,0.06666666666666665,0.5903981921716055,lazio,0.19337947084762372,3,13.0,0.0,0.5493646582240271,0,0,0.15811063417335916,0.06666666666666665,0.04103353394757836,0,0.0,0.0
parma vs torino,torino,270507,Cesare Casadei,M,90,6.5,0.0,0.0,2.0,1.0,40,33.0,82.5,2.0,0.0,0.0,0.0,0,0,5.0,9.0,0.5,0.0,0.5555555555555556,0.2222222222222222,0.0,0,0.0,0.0,0.0,0.0,6.425,0.0,0.0,0.0,3.8549999999999995,0.04916666666666667,0.17718587145338738,-0.04999999999999993,0.5625366796516177,parma,0.14257716805487503,3,10.0,-0.8999999999999999,0.48410278426083797,0,0,0.03460870339851235,0.85,0.07843389539077972,0,0.0,0.0
torino vs atalanta,torino,270507,Cesare Casadei,M,45,6.9,0.0,0.0,1.0,1.0,25,21.0,84.0,0.0,0.0,2.0,0.0,0,0,1.0,4.0,1.0,0.0,0.25,0.0,0.0,0,0.0,4.0,0.0,0.5,6.6000000000000005,0.0,0.0,0.0,3.96,0.06666666666666649,0.1283307579240945,-0.040000000000000036,0.5292050966145934,atalanta,0.09438097939606487,0,9.0,0.52,0.5906320641047513,0,0,0.03394977852802965,-0.56,-0.06142696749015797,0,0.0,0.0
torino vs fiorentina,torino,270507,Cesare Casadei,M,90,6.9,0.0,0.0,2.0,2.0,35,24.0,68.6,0.0,1.0,3.0,0.0,0,0,10.0,18.0,1.0,0.0,0.5555555555555556,0.0,0.0,0,0.0,3.0,0.0,0.16666666666666666,6.65,0.0,0.0,0.0,3.99,0.08999999999999982,0.32857196698450986,-0.07999999999999996,0.5573134462869502,fiorentina,0.18455005716152206,2,13.0,-0.24000000000000005,0.549882486959268,0,0,0.1440219098229878,0.1600000000000001,0.0074309593276822294,0,0.0,0.0
torino vs napoli,torino,270507,Cesare Casadei,M,90,6.7,0.0,0.0,1.0,0.0,26,20.0,76.9,0.0,1.0,2.0,1.0,0,0,6.0,12.0,0.0,0.0,0.5,0.0,0.0,0,0.0,2.0,0.0,0.16666666666666666,6.75,0.0,0.0,0.0,4.05,0.03666666666666631,0.10399314061734444,-0.040000000000000036,0.4929657189013459,napoli,0.1155683488486036,2,9.0,0.38000000000000006,0.7519592617213766,0,0,-0.011575208231259168,-0.4200000000000001,-0.25899354282003073,0,0.0,0.0
inter vs cremonese,inter,270509,Andy Diouf,M,15,6.5,0.0,0.0,0.0,0.0,11,11.0,100.0,1.0,1.0,0.0,1.0,0,0,2.0,5.0,0.0,0.0,0.4,0.2,0.0,0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,3.9,0.0,0.10422698320787492,0.43333333333333335,0.7736835194604157,cremonese,0.08732102999618921,1,8.0,-0.12,0.4767399114875797,0,0,0.016905953211685712,0.5533333333333333,0.296943607972836,0,0.0,0.0
inter vs torino,inter,270509,Andy Diouf,M,11,6.3,0.0,0.0,0.0,0.0,4,2.0,50.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,3.84,0.020000000000000125,0.18167564919157275,0.7399999999999999,0.6873383564522224,torino,0.0428522971394113,0,6.0,-0.19999999999999996,0.5976495390025195,0,0,0.13882335205216145,0.9399999999999998,0.08968881744970292,0,0.0,0.0
cremonese vs sassuolo,sassuolo,271350,Tarik Muharemović,D,90,6.9,0.0,0.0,0.0,0.0,83,68.0,81.9,2.0,0.0,1.0,0.0,0,0,9.0,12.0,0.0,0.0,0.75,0.16666666666666666,0.0,0,0.0,1.0,0.0,0.08333333333333333,6.9,0.0,0.0,0.0,4.14,0.0,0.2572268495835374,0.4,0.6043158237679999,cremonese,0.1665850073493385,2,12.0,-0.07499999999999996,0.5374349762812324,0,0,0.09064184223419891,0.475,0.06688084748676748,0,0.0,0.0
inter vs sassuolo,sassuolo,271350,Tarik Muharemović,D,90,6.3,0.0,0.0,0.0,0.0,44,39.0,88.6,3.0,2.0,2.0,0.0,1,0,6.0,11.0,0.0,0.0,0.5454545454545454,0.2727272727272727,0.0,1,1.0,2.0,0.5,0.18181818181818182,6.6,0.0,0.0,0.0,3.9599999999999995,0.18000000000000005,0.08665828771062775,0.30000000000000004,0.5269201649958228,inter,0.21974522292993628,2,15.0,0.30000000000000004,0.6633817336669895,0,0,-0.13308693521930853,0.0,-0.13646156867116666,0,0.0,0.0
sassuolo vs lazio,sassuolo,271350,Tarik Muharemović,D,90,7.6,0.0,1.0,0.0,0.0,67,59.0,88.1,3.0,2.0,1.0,1.0,1,0,5.0,7.0,0.0,0.0,0.7142857142857143,0.42857142857142855,1.0,1,1.0,1.0,1.0,0.14285714285714285,6.933333333333334,0.0,0.3333333333333333,0.3333333333333333,4.293333333333334,0.4233333333333335,0.25897231749142574,-0.32499999999999996,0.5669287582661473,lazio,0.15988894332843376,3,11.0,0.4,0.6811524308652989,0,0,0.09908337416299198,-0.725,-0.11422367259915156,0,0.0,0.0
sassuolo vs napoli,sassuolo,271350,Tarik Muharemović,D,90,6.3,0.0,0.0,1.0,1.0,52,45.0,86.5,2.0,3.0,2.0,3.0,0,0,5.0,8.0,1.0,0.0,0.625,0.25,0.0,0,0.0,2.0,0.0,0.25,6.775,0.0,0.25,0.25,4.165,0.3825,0.273640372366487,-0.4999999999999999,0.5271718016942901,napoli,0.24474586760875733,1,17.0,0.8,0.6270878977244435,0,0,0.028894504757729644,-1.2999999999999998,-0.09991609603015339,0,0.0,0.0
sassuolo vs udinese,sassuolo,271350,Tarik Muharemović,D,90,6.7,0.0,0.0,0.0,0.0,41,32.0,78.0,1.0,0.0,0.0,2.0,0,0,6.0,8.0,0.0,0.0,0.75,0.125,0.0,0,0.0,0.0,0.0,0.0,6.7250000000000005,0.0,0.25,0.25,4.135,0.3758333333333332,0.024343072281389412,-0.28,0.486003157719064,udinese,0.35247427731504166,3,22.0,-0.125,0.5943669507928236,0,0,-0.32813120503365223,-0.15500000000000003,-0.10836379307375965,0,0.0,0.0
verona vs sassuolo,sassuolo,271350,Tarik Muharemović,D,90,7.6,0.0,0.0,0.0,0.0,40,30.0,75.0,3.0,1.0,0.0,0.0,0,0,9.0,10.0,0.0,0.0,0.9,0.3,0.0,0,0.0,0.0,0.0,0.0,7.05,0.0,0.25,0.25,4.329999999999999,0.4299999999999999,0.17718587145338738,-0.3999999999999999,0.48406302213868,verona,0.20162750569840016,2,14.0,-0.46,0.5624623416417757,0,0,-0.024441634245012778,0.06000000000000011,-0.07839931950309564,0,0.0,0.0
as roma vs inter,inter,275651,Ange-Yoan Bonny,F,69,7.7,1.0,0.0,2.0,1.0,13,8.0,61.5,0.0,0.0,3.0,3.0,0,0,4.0,10.0,0.5,1.0,0.4,0.0,1.0,0,0.0,3.9130434782608696,0.0,0.3,7.7,1.0,0.0,1.0,5.0200000000000005,0.0,1.0,-0.7999999999999998,0.651544168100199,as roma,0.643715595008214,8,36.0,-1.0999999999999999,0.7444434853095411,0,0,0.35628440499178604,0.30000000000000004,-0.09289931720934208,0,0.0,0.0
as roma vs inter,inter,275651,Ange-Yoan Bonny,F,69,7.7,1.0,0.0,2.0,1.0,13,8.0,61.5,0.0,0.0,3.0,3.0,0,0,4.0,10.0,0.5,1.0,0.4,0.0,1.0,0,0.0,3.9130434782608696,0.0,0.3,7.7,1.0,0.0,1.0,5.0200000000000005,0.0,1.0,-0.7999999999999998,0.651544168100199,as roma,0.643715595008214,8,36.0,-1.0999999999999999,0.7444434853095411,0,0,0.35628440499178604,0.30000000000000004,-0.09289931720934208,0,0.0,0.0
inter vs cremonese,inter,275651,Ange-Yoan Bonny,F,61,9.9,1.0,3.0,1.0,1.0,19,15.0,78.9,0.0,0.0,1.0,1.0,0,0,2.0,3.0,1.0,1.0,0.6666666666666666,0.0,4.0,0,0.0,1.4754098360655739,0.0,0.3333333333333333,8.433333333333334,1.0,1.0,2.0,5.859999999999999,1.6133333333333335,0.10422698320787492,0.43333333333333335,0.7736835194604157,cremonese,0.08732102999618921,1,8.0,-0.12,0.4767399114875797,0,0,0.016905953211685712,0.5533333333333333,0.296943607972836,0,0.0,0.0
inter vs sassuolo,inter,275651,Ange-Yoan Bonny,F,13,6.9,0.0,0.0,0.0,0.0,4,2.0,50.0,0.0,0.0,0.0,1.0,0,0,2.0,3.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,0.0,0.0,0.0,0.0,8.05,0.75,0.75,1.5,5.43,1.6633333333333338,0.21974522292993628,0.30000000000000004,0.6633817336669895,sassuolo,0.08665828771062775,1,8.0,0.30000000000000004,0.5269201649958228,0,0,0.13308693521930853,0.0,0.13646156867116666,0,0.0,0.0
inter vs torino,inter,275651,Ange-Yoan Bonny,F,23,7.6,1.0,0.0,1.0,1.0,6,6.0,100.0,1.0,0.0,1.0,1.0,0,0,3.0,6.0,1.0,1.0,0.5,0.16666666666666666,1.0,0,0.0,3.9130434782608696,0.0,0.16666666666666666,8.025,0.75,0.75,1.5,5.415000000000001,1.6891666666666671,0.18167564919157275,0.7399999999999999,0.6873383564522224,torino,0.0428522971394113,0,6.0,-0.19999999999999996,0.5976495390025195,0,0,0.13882335205216145,0.9399999999999998,0.08968881744970292,0,0.0,0.0
