fixture,team,home_team,away_team,home_goals,away_goals,final_score,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
Rayo Vallecano vs Sevilla,Rayo Vallecano,Rayo Vallecano,Sevilla,0,1,0-1,6,7,18,5,13,5,11,12,0,0.64,3,1,0,486,401,0.83,1.89,1
Rayo Vallecano vs Sevilla,Sevilla,Rayo Vallecano,Sevilla,0,1,0-1,1,1,4,2,2,2,15,4,1,0.36,2,0,6,280,193,0.69,0.63,1
Elche vs Celta Vigo,Elche,Elche,Celta Vigo,2,1,2-1,8,4,17,5,15,2,12,7,3,0.62,3,0,1,574,523,0.91,3.58,0
Elche vs Celta Vigo,Celta Vigo,Elche,Celta Vigo,2,1,2-1,2,3,8,3,7,1,20,2,3,0.38,3,0,6,358,298,0.83,0.77,0
Barcelona vs Real Sociedad,Barcelona,Barcelona,Real Sociedad,2,1,2-1,12,5,22,5,14,8,6,12,3,0.75,1,0,1,745,685,0.92,2.21,0
Barcelona vs Real Sociedad,Real Sociedad,Barcelona,Real Sociedad,2,1,2-1,2,3,7,2,5,2,12,1,5,0.25,2,0,8,250,194,0.78,0.97,0
Real Betis vs Osasuna,Real Betis,Real Betis,Osasuna,2,0,2-0,6,3,12,3,6,6,6,5,2,0.51,0,0,1,519,435,0.84,0.76,0
Real Betis vs Osasuna,Osasuna,Real Betis,Osasuna,2,0,2-0,1,8,12,3,9,3,7,5,2,0.49,1,0,4,493,420,0.85,0.7,0
Valencia vs Oviedo,Valencia,Valencia,Oviedo,1,2,1-2,5,8,16,3,12,4,14,5,1,0.57,1,0,2,541,473,0.87,1.51,0
Valencia vs Oviedo,Oviedo,Valencia,Oviedo,1,2,1-2,4,3,10,3,5,5,12,4,4,0.43,4,1,4,414,338,0.82,0.77,0
Osasuna vs Getafe,Osasuna,Osasuna,Getafe,2,1,2-1,3,4,7,0,6,1,11,1,3,0.58,1,0,1,438,316,0.72,0.43,0
Osasuna vs Getafe,Getafe,Osasuna,Getafe,2,1,2-1,2,3,6,1,6,0,14,6,6,0.42,4,0,2,318,225,0.71,0.85,0
Oviedo vs Levante,Oviedo,Oviedo,Levante,0,2,0-2,2,6,13,5,9,4,10,9,1,0.57,2,0,3,484,418,0.86,1.31,0
Oviedo vs Levante,Levante,Oviedo,Levante,0,2,0-2,5,1,14,8,9,5,10,3,2,0.43,2,0,2,370,298,0.81,1.94,0
Girona vs Valencia,Girona,Girona,Valencia,2,1,2-1,4,0,4,0,3,1,13,0,5,0.45,5,2,5,386,314,0.81,1.02,0
Girona vs Valencia,Valencia,Girona,Valencia,2,1,2-1,6,8,19,5,9,10,12,7,1,0.55,1,0,2,461,384,0.83,1.21,0
Athletic Club vs Mallorca,Athletic Club,Athletic Club,Mallorca,2,1,2-1,5,6,18,7,10,8,16,7,0,0.52,4,0,1,442,380,0.86,2.05,0
Athletic Club vs Mallorca,Mallorca,Athletic Club,Mallorca,2,1,2-1,2,4,6,0,2,4,13,2,5,0.48,6,1,3,416,343,0.82,0.32,0
Real Madrid vs Villarreal,Real Madrid,Real Madrid,Villarreal,3,1,3-1,7,10,26,9,16,10,9,4,0,0.7,2,0,1,711,653,0.92,3.52,0
Real Madrid vs Villarreal,Villarreal,Real Madrid,Villarreal,3,1,3-1,2,3,9,4,3,6,14,0,0,0.3,4,1,4,317,256,0.81,1.0,0
Alaves vs Elche,Alaves,Alaves,Elche,3,1,3-1,5,8,25,12,14,11,13,14,2,0.47,3,0,2,395,328,0.83,2.42,0
Alaves vs Elche,Elche,Alaves,Elche,3,1,3-1,3,1,6,2,3,3,9,4,1,0.53,1,1,2,461,399,0.87,0.38,0
Sevilla vs Barcelona,Sevilla,Sevilla,Barcelona,4,1,4-1,5,6,13,2,12,1,18,7,10,0.39,7,0,7,266,205,0.77,2.8,0
Sevilla vs Barcelona,Barcelona,Sevilla,Barcelona,4,1,4-1,8,4,17,5,14,3,9,6,0,0.61,5,0,1,427,363,0.85,2.25,0
Espanyol vs Real Betis,Espanyol,Espanyol,Real Betis,1,2,1-2,5,8,14,1,9,5,16,10,2,0.5,2,0,1,448,372,0.83,2.24,1
Espanyol vs Real Betis,Real Betis,Espanyol,Real Betis,1,2,1-2,3,6,12,3,7,5,4,5,1,0.5,6,0,4,463,385,0.83,1.33,1
Real Sociedad vs Rayo Vallecano,Real Sociedad,Real Sociedad,Rayo Vallecano,0,1,0-1,3,1,10,6,7,3,13,7,0,0.51,1,0,1,421,338,0.8,0.79,1
