fixture,team,home_team,away_team,home_goals,away_goals,final_score,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
Getafe vs Oviedo,Oviedo,Getafe,Oviedo,2,0,2-0,1,2,5,2,1,4,18,3,1,0.52,5,1,1,373,303,0.81,0.46,0
Real Sociedad vs Real Madrid,Real Sociedad,Real Sociedad,Real Madrid,1,2,1-2,4,7,23,12,15,8,17,12,0,0.64,2,0,4,521,447,0.86,2.23,0
Real Sociedad vs Real Madrid,Real Madrid,Real Sociedad,Real Madrid,1,2,1-2,6,7,16,3,14,2,7,4,2,0.36,1,1,3,314,241,0.77,2.42,0
Athletic Club vs Alaves,Athletic Club,Athletic Club,Alaves,0,1,0-1,3,4,12,5,7,5,17,6,2,0.58,4,0,2,461,372,0.81,1.08,0
Athletic Club vs Alaves,Alaves,Athletic Club,Alaves,0,1,0-1,2,2,4,0,0,4,21,6,1,0.42,3,0,3,350,252,0.72,0.09,0
Atletico Madrid vs Villarreal,Atletico Madrid,Atletico Madrid,Villarreal,2,0,2-0,3,3,8,2,5,3,12,8,1,0.61,2,0,1,626,560,0.89,1.17,0
Atletico Madrid vs Villarreal,Villarreal,Atletico Madrid,Villarreal,2,0,2-0,1,4,8,3,5,3,15,3,0,0.39,4,0,1,396,340,0.86,0.97,0
Celta Vigo vs Girona,Celta Vigo,Celta Vigo,Girona,1,1,1-1,7,9,21,5,14,7,7,10,0,0.6,0,0,7,630,556,0.88,2.5,1
Celta Vigo vs Girona,Girona,Celta Vigo,Girona,1,1,1-1,8,2,13,3,10,3,9,3,3,0.4,3,0,6,439,362,0.82,0.64,1
Levante vs Real Betis,Levante,Levante,Real Betis,2,2,2-2,2,2,5,1,4,1,16,4,2,0.33,4,0,7,268,196,0.73,0.73,0
Levante vs Real Betis,Real Betis,Levante,Real Betis,2,2,2-2,9,8,28,11,21,7,11,12,1,0.67,2,0,0,544,482,0.89,2.12,0
Osasuna vs Rayo Vallecano,Osasuna,Osasuna,Rayo Vallecano,2,0,2-0,7,1,9,1,6,3,13,3,0,0.36,3,0,6,303,230,0.76,1.77,0
Osasuna vs Rayo Vallecano,Rayo Vallecano,Osasuna,Rayo Vallecano,2,0,2-0,6,7,19,6,12,7,7,6,1,0.64,2,0,4,540,472,0.87,1.04,0
Barcelona vs Valencia,Barcelona,Barcelona,Valencia,6,0,6-0,10,10,24,4,16,8,9,5,4,0.72,0,0,1,677,615,0.91,3.35,-3
Barcelona vs Valencia,Valencia,Barcelona,Valencia,6,0,6-0,1,1,2,0,2,0,8,4,4,0.28,1,0,5,248,167,0.67,0.18,-3
Espanyol vs Mallorca,Espanyol,Espanyol,Mallorca,3,2,3-2,3,5,9,1,6,3,9,3,0,0.38,2,1,8,302,241,0.8,2.51,-1
Espanyol vs Mallorca,Mallorca,Espanyol,Mallorca,3,2,3-2,10,6,24,8,14,10,16,9,2,0.62,1,0,0,494,424,0.86,2.17,-1
Real Betis vs Real Sociedad,Real Betis,Real Betis,Real Sociedad,3,1,3-1,6,8,21,7,12,9,7,3,0,0.5,3,0,4,492,400,0.81,2.09,0
Real Betis vs Real Sociedad,Real Sociedad,Real Betis,Real Sociedad,3,1,3-1,5,2,11,4,8,3,20,5,3,0.5,7,0,4,481,385,0.8,0.67,0
Girona vs Levante,Girona,Girona,Levante,0,4,0-4,1,3,7,3,5,2,11,5,0,0.35,4,2,2,295,248,0.84,0.5,0
Girona vs Levante,Levante,Girona,Levante,0,4,0-4,7,6,14,1,11,3,17,4,1,0.65,3,0,1,575,529,0.92,2.88,0
Real Madrid vs Espanyol,Real Madrid,Real Madrid,Espanyol,2,0,2-0,5,6,16,5,11,5,10,5,2,0.72,2,0,1,753,700,0.93,1.18,0
Real Madrid vs Espanyol,Espanyol,Real Madrid,Espanyol,2,0,2-0,1,2,8,5,5,3,20,3,0,0.28,0,0,3,274,229,0.84,0.96,0
Villarreal vs Osasuna,Villarreal,Villarreal,Osasuna,2,1,2-1,8,12,26,6,14,12,10,7,2,0.66,2,0,2,502,444,0.88,2.55,1
Villarreal vs Osasuna,Osasuna,Villarreal,Osasuna,2,1,2-1,3,3,6,0,6,0,11,0,1,0.34,3,1,6,274,211,0.77,1.8,1
Alaves vs Sevilla,Alaves,Alaves,Sevilla,1,2,1-2,5,2,8,1,4,4,20,4,3,0.48,1,0,1,394,307,0.78,0.95,0
Alaves vs Sevilla,Sevilla,Alaves,Sevilla,1,2,1-2,3,4,9,2,5,4,19,4,4,0.52,7,0,4,423,340,0.8,0.48,0
Valencia vs Athletic Club,Valencia,Valencia,Athletic Club,2,0,2-0,5,6,13,2,10,3,13,5,0,0.44,1,0,6,378,296,0.78,1.88,0
