player_id,name,team,position,minutes,goals,assists,shots_total,shots_on,passes_total,accurate_passes,tackles,interceptions,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_won,duels_total,goals_per_90,assists_per_90,shots_accuracy,pass_accuracy_pct,duel_success_rate,defensive_contrib_per_90,discipline_index
1864,Pedro Neto,Chelsea,F,79,0.0,0,1.0,0.0,17,16.0,1.0,0.0,0.0,2.0,0,0,4.0,10.0,0.0,0.0,0.0,94.118,40.0,1.139,0.0
1864,Pedro Neto,Chelsea,M,511,2.0,1,4.0,3.0,163,136.0,3.0,4.0,1.0,4.0,0,0,20.0,41.0,0.352,0.176,0.75,83.436,48.78,1.233,0.044
1904,Boubacar Kamara,Aston Villa,M,386,0.0,2,1.0,1.0,233,206.0,11.0,3.0,4.0,11.0,1,0,44.0,62.0,0.0,0.466,1.0,88.412,70.968,3.264,0.466
1934,Sander Berge,Fulham,M,690,0.0,0,1.0,1.0,336,296.0,11.0,5.0,10.0,2.0,1,0,21.0,50.0,0.0,0.0,1.0,88.095,42.0,2.087,0.457
1946,Leandro Trossard,Arsenal,F,289,1.0,1,4.0,1.0,124,91.0,3.0,3.0,2.0,3.0,0,0,12.0,24.0,0.311,0.311,0.25,73.387,50.0,1.869,0.156
1946,Leandro Trossard,Arsenal,M,88,0.0,0,1.0,0.0,27,20.0,0.0,0.0,0.0,1.0,0,0,1.0,3.0,0.0,0.0,0.0,74.074,33.333,0.0,0.0
2032,Jørgen Strand Larsen,Wolves,F,455,0.0,0,7.0,3.0,92,62.0,1.0,1.0,12.0,4.0,0,0,26.0,71.0,0.0,0.0,0.429,67.391,36.62,0.396,0.593
2165,Vitaliy Mykolenko,Everton,D,446,0.0,0,1.0,0.0,184,147.0,4.0,7.0,7.0,5.0,1,0,17.0,39.0,0.0,0.0,0.0,79.891,43.59,2.22,0.555
2218,Ismaïla Sarr,Crystal Palace,F,524,3.0,1,7.0,4.0,109,83.0,6.0,1.0,5.0,7.0,1,0,22.0,61.0,0.515,0.172,0.571,76.147,36.066,1.202,0.386
2279,Ethan Ampadu,Leeds,M,519,0.0,0,2.0,0.0,356,310.0,17.0,7.0,8.0,4.0,2,0,28.0,43.0,0.0,0.0,0.0,87.079,65.116,4.162,0.694
2287,Ross Barkley,Aston Villa,M,27,0.0,0,1.0,0.0,8,7.0,1.0,0.0,0.0,0.0,0,0,1.0,3.0,0.0,0.0,0.0,87.5,33.333,3.333,0.0
2291,Mateo Kovačić,Manchester City,M,12,0.0,0,0.0,0.0,22,22.0,0.0,0.0,0.0,0.0,0,0,1.0,2.0,0.0,0.0,,100.0,50.0,0.0,0.0
2298,Callum Hudson-Odoi,Nottingham Forest,F,124,0.0,0,1.0,1.0,57,53.0,1.0,1.0,1.0,0.0,0,0,6.0,13.0,0.0,0.0,1.0,92.982,46.154,1.452,0.181
2298,Callum Hudson-Odoi,Nottingham Forest,M,311,1.0,0,3.0,3.0,114,104.0,1.0,1.0,2.0,3.0,0,0,6.0,20.0,0.289,0.0,1.0,91.228,30.0,0.579,0.145
2413,Richarlison,Tottenham,F,484,3.0,1,11.0,5.0,71,45.0,3.0,2.0,6.0,6.0,1,0,28.0,62.0,0.558,0.186,0.455,63.38,45.161,0.93,0.465
2476,Guido Rodríguez,West Ham,M,71,0.0,0,0.0,0.0,32,28.0,0.0,0.0,0.0,0.0,0,0,1.0,2.0,0.0,0.0,,87.5,50.0,0.0,0.0
2490,Jefferson Lerma,Crystal Palace,M,182,0.0,0,5.0,2.0,75,62.0,3.0,1.0,3.0,4.0,1,0,12.0,21.0,0.0,0.0,0.4,82.667,57.143,1.978,0.865
2601,Daichi Kamada,Crystal Palace,F,266,0.0,0,3.0,2.0,94,79.0,8.0,2.0,2.0,6.0,0,0,20.0,32.0,0.0,0.0,0.667,84.043,62.5,3.383,0.169
2601,Daichi Kamada,Crystal Palace,M,261,0.0,0,1.0,0.0,106,91.0,15.0,0.0,8.0,5.0,0,0,23.0,33.0,0.0,0.0,0.0,85.849,69.697,5.172,0.69
2724,Lucas Digne,Aston Villa,D,579,0.0,2,2.0,2.0,225,168.0,9.0,4.0,5.0,5.0,2,0,22.0,46.0,0.0,0.311,1.0,74.667,47.826,2.021,0.505
2729,Joachim Andersen,Fulham,D,672,0.0,0,3.0,1.0,459,390.0,15.0,8.0,7.0,5.0,0,0,32.0,50.0,0.0,0.0,0.333,84.967,64.0,3.08,0.234
2771,Ola Aina,Nottingham Forest,D,270,0.0,0,0.0,0.0,123,111.0,6.0,5.0,5.0,3.0,1,0,16.0,34.0,0.0,0.0,,90.244,47.059,3.667,0.75
2806,Fabian Schär,Newcastle,D,351,0.0,0,4.0,0.0,223,184.0,4.0,6.0,5.0,3.0,0,0,23.0,37.0,0.0,0.0,0.0,82.511,62.162,2.564,0.321
2817,Nikola Milenković,Nottingham Forest,D,720,0.0,0,5.0,1.0,424,390.0,2.0,8.0,3.0,4.0,1,0,23.0,44.0,0.0,0.0,0.2,91.981,52.273,1.25,0.219
2823,Saša Lukić,Fulham,M,550,0.0,1,4.0,1.0,203,178.0,14.0,6.0,22.0,12.0,4,0,32.0,72.0,0.0,0.164,0.25,87.685,44.444,3.273,1.555
2864,Alexander Isak,Liverpool,F,253,0.0,1,6.0,1.0,45,30.0,2.0,0.0,1.0,0.0,0,0,6.0,16.0,0.0,0.356,0.167,66.667,37.5,0.711,0.089
2887,Raúl Jiménez,Fulham,F,241,1.0,0,5.0,1.0,45,26.0,6.0,0.0,11.0,1.0,0,0,13.0,51.0,0.373,0.0,0.2,57.778,25.49,2.241,1.027
